size,time,backward_error,residual_norm
100,5.111e-6,1.0969003483296547e-15,2.5368186957263034e-16
200,1.8691e-5,2.746691762922637e-15,3.57874089643997e-16
300,4.1293e-5,5.144403421771434e-15,4.1810590575192126e-16
400,7.2415e-5,7.911726829235019e-15,4.526135260971246e-16
500,0.000113468,1.0934808614138092e-14,5.162311674198644e-16
600,0.000159041,1.3686089298895849e-14,5.43945701340469e-16
700,0.000217115,2.053674690622691e-14,6.466813053930049e-16
800,0.000280039,2.3061969001147982e-14,6.549151714304839e-16
900,0.00058823,3.009259508246486e-14,7.141231198857123e-16
1000,0.000706008,3.7283842679869405e-14,7.546670626704568e-16
1100,0.000959506,4.3826356685175736e-14,8.00977480637928e-16
1200,0.001093315,5.319420829745053e-14,8.107822416648205e-16
1300,0.001368443,6.299038214107303e-14,8.847892956251137e-16
1400,0.001851496,7.504711138242977e-14,9.0848637301636e-16
1500,0.002786649,8.269111321605273e-14,9.252740468102628e-16
1600,0.00351936,9.939257750168903e-14,9.384206334961738e-16
1700,0.004535049,1.1042258610750778e-13,9.859509207347782e-16
1800,0.004325144,1.2389786727437816e-13,1.0381293155867225e-15
1900,0.007238722,1.4044175179531318e-13,1.0567436173346382e-15
2000,0.005684567,1.6152090775989332e-13,1.0995559275048677e-15
2100,0.00852513,1.6420187960653467e-13,1.0653678136067253e-15
2200,0.004950447,2.2251786272161935e-13,1.1018779206816597e-15
2300,0.007982592,2.50154534767781e-13,1.1696643565475116e-15
2400,0.006806043,2.648454141181608e-13,1.1677453826679518e-15
2500,0.008749085,3.0505886705611916e-13,1.203807134640153e-15
2600,0.008317815,3.892999597901244e-13,1.1870777377947582e-15
2700,0.010980897,3.967376632979738e-13,1.2153793653281036e-15
2800,0.010563038,4.672326018148213e-13,1.2669053722363652e-15
2900,0.013990081,4.2182805141619845e-13,1.2845337742227938e-15
3000,0.013165795,5.253880663858017e-13,1.3444780015582072e-15
3100,0.016362943,5.631113854779203e-13,1.3140492775361066e-15
3200,0.017797171,6.675987193616152e-13,1.364854206273379e-15
3300,0.019098558,7.787575634859497e-13,1.3619334521642174e-15
3400,0.018901534,8.453453949913356e-13,1.3758120948050569e-15
3500,0.022776759,9.99870789338991e-13,1.419769574215513e-15
3600,0.022542313,1.2177286648176443e-12,1.4513123837430879e-15
3700,0.026554216,1.320042453723565e-12,1.4499547455952198e-15
3800,0.025602471,1.3738982174160863e-12,1.4530083219470969e-15
3900,0.030401517,1.4105044482831136e-12,1.4552964661024612e-15
4000,0.031134427,1.5864850266833222e-12,1.5126920832862655e-15
4100,0.04793131,1.995946822453672e-12,1.5152404755299345e-15
4200,0.040552508,2.5838048631871612e-12,1.5603462758064189e-15
4300,0.04014305,3.3133225362324173e-12,1.521849823265604e-15
4400,0.039047095,2.8613772967195634e-12,1.5663432612601147e-15
4500,0.060653695,2.7676392535782546e-12,1.5765973433818403e-15
4600,0.045724129,3.653294381987057e-12,1.6502799282072444e-15
4700,0.051729507,3.870708151162225e-12,1.6238530780409586e-15
4800,0.053759865,4.337437608155554e-12,1.6606262164852208e-15
4900,0.075993908,4.486193525509344e-12,1.6778644151565915e-15
5000,0.062294916,5.645388556629884e-12,1.7376189368824858e-15
5100,0.080094127,7.011233140904368e-12,1.6901619886363994e-15
5200,0.068918686,8.424766973790439e-12,1.7325074721367407e-15
5300,0.08647444,9.518461846805242e-12,1.7691304618241226e-15
5400,0.075968996,9.86229634995341e-12,1.7910341975451022e-15
5500,0.085432429,9.845510770293505e-12,1.828437077430904e-15
5600,0.082265023,1.2711312795994514e-11,1.8448100545199755e-15
5700,0.080360235,1.342741504728708e-11,1.8046880421539832e-15
5800,0.081241075,1.852723593317032e-11,1.824717551198802e-15
5900,0.09764839,1.9422132132328095e-11,1.8677223294357383e-15
6000,0.096986675,2.1066873671464996e-11,1.8822212951357344e-15
6100,0.121013679,2.6501168946012905e-11,1.882278665056238e-15
6200,0.104316364,3.0471384268866124e-11,1.8869898829513834e-15
6300,0.129511237,2.8528447769910972e-11,1.928854164814216e-15
6400,0.138879064,3.233017643531339e-11,1.9205849502935494e-15
6500,0.139201506,4.870320405090703e-11,1.876028764945131e-15
6600,0.109920464,4.237138518835467e-11,1.8457142744326025e-15
6700,0.140456471,5.512903601285353e-11,1.8485183051221356e-15
6800,0.131487042,6.023544743059309e-11,1.856946495711004e-15
6900,0.155189323,6.752894826253028e-11,1.8446083108335437e-15
7000,0.13162868,8.452221809757316e-11,1.8486365333258713e-15
7100,0.176404645,7.478507301688822e-11,1.8362399030040763e-15
7200,0.156568416,1.0886364607611584e-10,1.8215063135375254e-15
7300,0.192020888,1.3034096976773577e-10,1.863996642639541e-15
7400,0.18764776,1.0562678755674425e-10,1.8316387074702652e-15
7500,0.159673167,1.200358537752455e-10,1.8354606053424804e-15
7600,0.163425073,1.5635900271901976e-10,1.8497636005226938e-15
7700,0.171060682,2.2634730995677651e-10,1.8671797829812305e-15
7800,0.199256899,2.901762794579015e-10,1.7893552201212594e-15
7900,0.231611869,2.4079337263924074e-10,1.8441142794742198e-15
8000,0.218391571,2.5681563514659863e-10,1.8596739359505377e-15
8100,0.264307513,3.875166299374088e-10,1.87971427111038e-15
8200,0.209780624,3.586401649234097e-10,1.876858493251137e-15
8300,0.209249919,4.686647856530616e-10,1.8815011728039245e-15
8400,0.266174549,5.420040207906807e-10,1.8850044185473794e-15
8500,0.296062902,6.119140372184318e-10,1.884367985898996e-15
8600,0.242728215,7.187200414521711e-10,1.910067059780212e-15
8700,0.312394462,7.799490965114654e-10,1.9308014197403104e-15
8800,0.234820397,8.733699069500851e-10,1.8925868290478362e-15
8900,0.328342276,9.84441625516027e-10,1.909493634303295e-15
9000,0.304303462,1.4433615016236519e-9,1.936050956377356e-15
9100,0.345589279,1.885875813522055e-9,1.945792192160576e-15
9200,0.31736365,1.3253561216988827e-9,1.9782737526064672e-15
9300,0.36280779,1.350658340317637e-9,1.976105277674204e-15
9400,0.335837146,1.8342596379536673e-9,1.9732597544335664e-15
9500,0.381227073,2.3345523580890855e-9,1.957421543124441e-15
9600,0.513085549,1.8036621477218348e-9,1.9854443665043816e-15
9700,0.431369281,2.8120473157699502e-9,2.0110208816128458e-15
9800,0.373994851,3.0505938605624333e-9,1.9734524974421703e-15
9900,0.415659534,4.16432918634375e-9,1.9999140716281804e-15
10000,0.383629896,5.644878982595326e-9,2.023673723782185e-15
