size,time,factorization_error
100,0.000207504,1.2921003613408819e-14
200,0.001585688,5.072394950221381e-14
300,0.011647252,2.056746321834394e-13
400,0.029083547,1.0530576860547283e-13
500,0.058285701,2.2841518792234527e-13
600,0.090513952,1.7785863795385075e-13
700,0.137844959,2.6320459653157465e-13
800,0.213248204,4.927285141961404e-13
900,0.304422921,9.50086487384144e-13
1000,0.447292243,1.3884471735753296e-12
1100,0.949419271,1.0179902712009512e-12
1200,1.426174176,5.28970805288765e-12
1300,1.97338846,2.8044146589519885e-12
1400,3.14716608,6.867622738703545e-12
1500,4.254497634,2.9911771425136683e-12
1600,5.052953025,9.507828214642328e-13
1700,6.896920956,6.886846505782163e-12
1800,8.627356191,1.5714082254575882e-12
1900,11.979224171,1.4164920145366086e-12
2000,13.321644563,4.4981125585028165e-12
